STATIONID,LATITUDE,LONGITUDE
US009052008,43.7333,-96.6333
US10RMHS145,40.5268,-105.1113
US10adam001,40.568,-98.5069
US10adam002,40.5093,-98.5493
US10adam003,40.4663,-98.6537
US10adam004,40.4798,-98.4026
US10adam006,40.4372,-98.5912
US10adam007,40.5389,-98.4713
US10adam008,40.4953,-98.2973
US10adam010,40.5532,-98.6297
US10adam011,40.4078,-98.6161
US10adam012,40.62,-98.39
US10adam013,40.66,-98.42
US10adam015,40.6258,-98.7034
US10adam016,40.64,-98.3949
US10adam017,40.6567,-98.4789
US10adam019,40.6114,-98.5543
US10adam022,40.5936,-98.4299
US10adam023,40.5981,-98.4732
US10adam024,40.3901,-98.2715
US10adam025,40.6004,-98.3986
US10adam027,40.5998,-98.4723
US10adam028,40.4653,-98.6517
US10adam029,40.5536,-98.3166
US10adam032,40.3571,-98.4208
US10adam033,40.4127,-98.3538
US10adam034,40.6129,-98.6482
US10adam035,40.607,-98.4588
US10adam036,40.5609,-98.402
US10adam039,40.602,-98.4048
US10adam041,40.434,-98.4389
US10adam043,40.5917,-98.5092
US10adam045,40.6121,-98.3888
US10adam046,40.5443,-98.4208
US10adam047,40.5917,-98.4287
US10adam051,40.4166,-98.5341
US10adam055,40.4396,-98.3449
US10adam056,40.58,-98.3717
US10adam057,40.6607,-98.5535
US10ante003,42.3374,-98.2405
US10arth002,41.3955,-101.4074
US10bann001,41.6581,-103.6151
US10bann005,41.6415,-103.9481
US10bann006,41.5589,-103.7407
US10bann007,41.5037,-103.7634
US10bann008,41.6363,-103.6842
US10bann009,41.6804,-103.6852
US10blai001,41.9138,-99.9644
US10blai003,41.7609,-100.2353
US10blai004,41.9043,-100.2657
US10blai005,42.0189,-100.1227
US10blai006,42.0715,-100.0649
US10blai008,41.803,-100.2225
US10blai010,41.9224,-99.7449
US10blai011,41.8838,-100.174
US10blai012,41.8194,-100.1071
US10blai013,41.7495,-99.7601
US10boon002,41.5249,-97.9933
US10boon003,41.7571,-98.2343
US10boon004,41.684,-97.9872
US10boon005,41.6402,-97.9951
US10boon006,41.502,-98.158
US10boon007,41.8655,-98.2295
US10boon008,41.6273,-98.2379
US10boon009,41.6685,-97.8945
US10boon010,41.6689,-98.1166
US10boon011,41.8518,-98.0448
US10box_001,42.1911,-102.9518
US10box_003,42.017,-102.9953
US10box_004,42.1486,-102.749
US10box_005,42.3195,-103.0705
US10box_006,42.3653,-102.9952
US10box_007,42.1675,-102.8005
US10box_008,42.2712,-103.141
US10box_009,42.3968,-102.8848
US10box_010,42.116,-103.4295
US10box_013,42.1138,-102.8901
US10box_014,42.2981,-102.8596
US10box_020,42.3167,-103.0787
US10box_023,42.4093,-102.7894
US10box_024,42.3263,-102.9934
US10box_030,42.2357,-103.3072
US10boyd002,42.9095,-98.8492
US10boyd003,42.9141,-98.6603
US10boyd005,42.9096,-98.8428
US10brow001,42.5359,-99.7092
US10brow003,42.636,-100.015
US10brow004,42.5375,-100.1208
